dataset,baseline,modalities,runs,seeds,runtime_scope,ARI_mean,ARI_sd,NMI_mean,NMI_sd,silhouette_mean,silhouette_sd,runtime_seconds_mean,runtime_seconds_sd
MB_E11,CONCAT,RNA+ATAC,3,1729;2718;31415,post_representation_clustering_metrics_and_artifact_serialization,0.22489045558425313,0.013861660616307506,0.2090349901478125,0.0036297247873978418,0.03541204187462793,0.022464219769617575,1.688770930665972,0.08162182158779943
MB_E11,PCA,RNA,3,1729;2718;31415,post_representation_clustering_metrics_and_artifact_serialization,0.15994198582028993,0.00041851262852476886,0.23442520856621205,0.0005932573149252915,0.19127632100113404,0.0002078226823333479,0.05596087500452995,0.0016025303645802646
MB_E11,RNA,RNA,3,1729;2718;31415,post_representation_clustering_metrics_and_artifact_serialization,0.17081449113187686,0.006131511633853531,0.23320781738002336,0.00356649086905335,0.02413629256958597,0.005456974055056032,1.880239791998368,0.1528458646798245
MB_E11,SPACE,spatial_coordinates,3,1729;2718;31415,post_representation_clustering_metrics_and_artifact_serialization,0.10571154809100962,0.00030053008137301767,0.20128187601698216,0.0002909317766569734,0.3737475264721079,0.00018905986495166183,0.035338930669240654,0.0007308778064815995
MB_E13,ATAC,ATAC,3,1729;2718;31415,post_representation_clustering_metrics_and_artifact_serialization,0.003046175501103103,0.00041003724431320593,0.018752686220664734,0.0011453033265044234,0.9495670548168018,0.0007667645377791802,0.04958593033370562,0.0010848615330935204
MB_E13,CONCAT,RNA+ATAC,3,1729;2718;31415,post_representation_clustering_metrics_and_artifact_serialization,0.05619002764858352,0.014459541454723996,0.09907580663572109,0.014790707276207734,0.07407638262523793,0.03377042599529571,2.7578313470003195,0.10129795764926712
MB_E13,PCA,RNA,3,1729;2718;31415,post_representation_clustering_metrics_and_artifact_serialization,0.05795525562313209,0.00041443626107632605,0.15770391298863937,0.00018923748039426834,0.15953777513552903,0.0007735450106020944,0.08767347199318465,0.003461472158138482
MB_E13,RNA,RNA,3,1729;2718;31415,post_representation_clustering_metrics_and_artifact_serialization,0.048593013264174485,0.006050945743969704,0.15043171892562357,0.013423292250570451,0.013687387198434417,0.002972328242144751,2.7511491803306853,0.13423629788166938
MB_E13,SPACE,spatial_coordinates,3,1729;2718;31415,post_representation_clustering_metrics_and_artifact_serialization,0.14532945821334922,0.002181817348217735,0.3366081174119576,0.0024868659342944855,0.3359089520625634,0.001965327066163305,0.056449180333099015,0.0012578310890292478
MB_E15,ATAC,ATAC,3,1729;2718;31415,post_representation_clustering_metrics_and_artifact_serialization,0.08506024034095967,0.1460806752557411,0.12049811188217606,0.18995711121986644,0.7199997376732539,0.3784503493281651,0.06686405566385172,0.0023482638919817746
MB_E15,CONCAT,RNA+ATAC,3,1729;2718;31415,post_representation_clustering_metrics_and_artifact_serialization,0.10977402988369762,0.0007321503547671535,0.1581315861406622,0.0010872499836938557,0.055938533080549385,0.001188865404997429,3.190760263998527,0.2139109059457951
MB_E15,PCA,RNA,3,1729;2718;31415,post_representation_clustering_metrics_and_artifact_serialization,0.10604459682972041,0.01345153501773685,0.21519034019502153,0.023871406634477527,0.15972325063839882,0.0033436072435648,0.10243880566364776,0.0043676199241405094
MB_E15,RNA,RNA,3,1729;2718;31415,post_representation_clustering_metrics_and_artifact_serialization,0.0951574467023927,0.01779619477639365,0.2008199096870116,0.020625567496535532,0.008208067397313702,0.00426549587575124,2.955111236005905,0.10111743279734409
MB_E15,SPACE,spatial_coordinates,3,1729;2718;31415,post_representation_clustering_metrics_and_artifact_serialization,0.178687517536319,0.0030270512675859974,0.3912022493914586,0.0025678892122720925,0.3504364914946528,0.001024836979276356,0.07809523600250638,0.01900649877024209
MB_E18,PCA,RNA,3,1729;2718;31415,post_representation_clustering_metrics_and_artifact_serialization,0.11585984138504625,0.002434806723729022,0.27120839934303426,0.008499169817292564,0.1192294772456416,0.0019421303702802741,0.11679322199779563,0.00333287312064163
MB_E18,RNA,RNA,3,1729;2718;31415,post_representation_clustering_metrics_and_artifact_serialization,0.07728898711011795,0.012641700603237499,0.1973652108302547,0.014184538463847865,-0.01793979003035859,0.0023051649827567134,3.7668686530038635,0.31592308794475105
MB_E18,SPACE,spatial_coordinates,3,1729;2718;31415,post_representation_clustering_metrics_and_artifact_serialization,0.1702021412057426,0.0004317173956751376,0.3824085846853092,0.0023162449275545365,0.3427774454052252,0.003065122143099395,0.08900941699782076,0.020734331969273073
